BasePriceLabel,BedrmCt,RegionID,SizeRank,RegionName,StateName,State,Metro,CountyName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020
BR001RG0011093,1,11093,23,Denver,Colorado,CO,Denver-Aurora-Lakewood,Denver County,113985,115559,117307,119211,121015,123015,124926,127087,129285,131229,132924,134381,136451,138510,140341,141874,143375,144657,145727,146676,147881,148942,150128,151205,151787,152255,152878,153624,154144,154422,154683,154985,155077,155187,155009,154959,155007,155054,154798,154149,153692,153421,153626,153662,154132,154538,155208,155394,155332,155256,155533,156242,156818,157132,157072,157184,156926,157173,157162,157890,158440,159275,159282,159006,158741,159226,159649,159642,159623,159829,160211,160071,160154,160143,160853,161082,161443,161202,161085,161157,161171,161003,160972,161015,160810,159930,159436,159786,160405,160358,160765,160975,161389,160511,159528,158237,157650,157299,156665,155115,153215,152069,150952,150383,149337,149358,148557,148194,146628,145971,145504,146083,147470,148798,149159,148450,148178,147826,148243,148169,149274,149281,148904,147578,145049,142223,139986,139004,138054,136823,135860,135765,135102,134841,134293,134535,135258,136499,137428,137939,137846,138667,139295,139530,140238,140887,142389,143211,143874,144342,145266,146275,148090,149167,150258,151008,151691,152851,153615,154718,155913,157465,159164,160920,162356,163621,164689,166008,167215,167959,168770,170201,172802,174908,176040,176718,177718,179480,181630,184295,187126,190205,193413,196299,197692,199099,201782,205378,208828,211765,214586,217068,219391,221433,222771,224089,225757,228430,230582,232908,235395,237836,240002,241823,243984,246741,250159,252779,255454,257522,259679,260821,261507,262553,264215,266222,268091,269522,271631,274298,277223,278681,279786,280858,282185,283703,284727,285702,285840,285598,284366,283434,282684,283024,283599,284296,285272,285679,286139,286463,287319,288468,289837,290801,291405,291941,292425,293010
BR001RG004172,1,4172,42,Colorado Springs,Colorado,CO,Colorado Springs,El Paso County,99601,100018,100380,100751,100914,101254,101675,102317,102938,103539,104216,105045,105935,106731,107629,108743,110045,111131,112190,113139,114196,115010,115727,116303,116738,117138,117508,117702,117954,118211,118657,119144,119556,120091,120493,120953,121249,121633,121874,121975,121923,122023,122411,122728,123194,123504,124004,124129,124391,124745,125416,126155,126785,127316,127448,127492,127401,127568,127820,128540,129357,129955,130211,130511,131108,131598,132155,132908,133918,134742,135250,135363,135481,135571,135982,136123,136218,136342,136673,137042,137231,137631,137757,137945,137941,138115,138421,139260,140237,141303,141662,141429,140699,139502,139333,139354,139629,139387,138517,136906,135090,133242,132460,131712,131362,130795,129658,128654,127371,126631,125856,125755,125592,125448,124484,124280,124369,125006,125542,125509,125444,124965,125299,125552,125721,125913,126309,126033,125010,123632,122110,120882,119836,119427,118516,117614,116710,115961,114685,113971,113733,114587,115151,115307,115459,115681,116095,116126,116090,116026,116782,117127,117299,116216,116254,117286,118588,119214,119507,119907,120706,121163,121441,121750,122124,122883,123129,123032,122743,122486,122570,122707,122716,122828,123220,123752,124567,125538,126153,127031,127585,128607,129063,129681,130757,131944,132977,133804,134644,135271,136402,136893,137730,138503,140189,142093,143298,144863,146326,147860,148965,149990,151065,152626,154294,155872,157290,158581,160017,161239,162356,163835,165008,166983,168766,170729,172350,174167,175362,176704,178545,180083,181294,182086,184065,185857,187617,188285,188890,189288,190284,191301,192132,194513,197303,200098,201704,203204,204960,207426,210100,212852,215477,218026,220442,221752,222953,224313
BR001RG004764,1,4764,154,Fort Collins,Colorado,CO,Fort Collins,Larimer County,101953,102311,102916,103368,104153,104717,105249,105919,106745,107798,108682,109551,110572,111587,112456,113225,114114,115138,116370,117558,118639,119782,120901,122089,122790,123697,124309,124962,125219,125483,125826,126358,126929,127404,127555,127752,127761,127793,127990,128550,129277,130039,130780,131400,131902,132024,132055,131953,132136,132439,133001,133106,133515,133594,133735,133447,133103,132989,133282,133460,133440,133399,133603,134346,134335,134304,133601,133434,133420,133708,133855,133903,134470,134418,134043,133039,132584,132241,132081,131930,131584,131070,130696,130705,130497,130713,130461,130610,130511,130810,131158,131076,131081,131151,130791,130178,129120,128261,127721,127195,126591,125972,125453,125382,125121,124674,124343,124086,124040,123906,123714,123182,123193,122620,122645,122140,121996,121833,122143,122536,122695,122191,122038,122454,122799,122940,122497,122362,122445,122350,121694,120946,120910,121689,121829,121695,121095,121672,121562,121590,120929,121116,121637,121999,121941,121786,122410,122995,123547,123247,123759,124496,125753,126195,126479,127247,128402,129423,129844,130114,130834,131906,133283,134346,135179,136354,137628,138909,139771,140508,141320,142206,142880,143461,143851,144673,145764,147050,148353,149286,150261,151432,152979,154812,157151,159725,162471,164258,165751,166807,168229,170152,171972,174034,175915,178347,180418,182572,184633,187527,190869,194401,197601,199867,202776,205537,209046,211793,214421,216105,217206,218186,219019,219837,220571,221853,223066,224018,224161,224384,224726,226353,227817,229454,230588,232653,234130,235351,235637,236852,237603,237583,237404,236998,237694,237788,238368,238118,238210,238388,239137,239285,239977,241326,242739,243876,244382,245280
BR001RG0047250,1,47250,201,Pueblo,Colorado,CO,Pueblo,Pueblo County,54114,54398,54671,54257,54222,54341,54822,55597,56404,57620,58893,60735,61674,62685,62982,64010,64410,64779,64766,64183,63844,63591,63792,63158,62357,61923,61916,62043,61784,61401,60972,61103,61174,61022,60158,60038,60593,61153,61696,61770,62537,63085,63563,63666,63560,63538,63630,63563,63073,62705,62665,63122,63228,63408,63457,63863,64379,65235,65955,66458,67359,68054,68519,68471,68841,69699,70876,71491,71857,71387,71481,71129,70856,70211,70092,70362,70079,69039,67750,67094,66770,66963,67211,68218,68537,69014,69029,69439,69978,70837,71453,71397,70980,70471,69779,68327,67381,66357,65709,64073,62736,61534,61185,61257,61280,60780,60172,60568,60859,61380,61459,61968,62234,62221,61815,60984,60112,59795,59592,59021,58355,57730,56773,55891,55215,55291,55193,55721,56341,56891,56651,55663,55135,54389,54535,54458,54070,53055,51790,50483,49182,47911,47523,48066,48588,49065,48907,48525,48481,48303,48627,48631,48934,49258,49322,48885,47940,47113,46699,46810,46767,46934,46994,46985,46840,46572,46583,46404,46357,46485,46750,47020,47023,47149,47070,47420,47639,47889,47735,48009,48624,49291,49538,49405,49378,49401,49717,49934,50126,50537,51150,51474,51503,51353,51461,51687,52453,53112,53746,53984,54524,54988,55430,55826,56132,56552,57267,58458,59243,60333,60971,61774,62108,62518,63287,64253,65523,66290,66662,66775,67159,66818,67233,68353,70084,71140,71319,71365,71300,71672,72441,73623,74736,75843,76234,75632,75085,74955,75722,76595,77550,78554,79522,80329,81322,82876,84937,87673
BR001RG005519,1,5519,208,Lakewood,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,82009,83186,84137,85080,85925,86987,88036,89284,90892,92729,94654,96190,97535,98706,99887,101160,102368,103548,104585,105467,106134,106808,107329,107910,108413,108963,109428,109917,110668,111207,111787,112036,112292,112385,112500,112419,112341,112264,112530,112384,112081,111750,111560,111460,111445,111300,111486,111473,111419,111213,111124,111473,111634,111738,111510,111482,111291,111315,110977,111083,111260,111623,111650,111719,111681,111585,111579,111559,111630,111838,112299,112685,112813,112727,112516,111851,111646,111394,111348,110831,110428,109843,109266,108894,108739,108446,107996,107347,106722,106884,107340,107884,107602,107468,107324,107105,106720,106139,105715,106642,107242,106808,104953,103803,103340,102480,101094,99944,99157,99031,99066,97542,96126,94994,95704,95948,96438,96837,97358,97211,97262,97221,97140,97272,97198,97374,96206,95386,93908,93222,92908,93118,92492,91313,89903,89230,88324,87187,86461,85760,85423,84529,83608,82394,81492,81014,80751,80748,81120,82122,82972,83292,83703,84420,85483,86377,87560,88740,90620,91842,93181,93375,93959,95293,96766,98024,98479,99620,100581,101534,101631,102042,102542,103751,104980,105682,106394,107246,108839,110232,112246,114142,116293,118014,120009,122376,124672,127247,129660,132312,134443,136473,137633,139160,140879,143384,145402,147088,149022,151305,153321,154997,156803,158907,161031,163169,165232,167012,168776,169884,170527,170585,171262,172380,173869,175502,177657,179578,181309,182777,184348,186561,188525,190381,192266,193704,195514,196021,196449,197107,197747,198591,198749,199382,199890,200336,200165,200590,200551,201355,201985,202568,203311,204098,205416,206241,207438,208928
BR001RG0030543,1,30543,264,Boulder,Colorado,CO,Boulder,Boulder County,130798,132228,133771,135305,136726,138613,141032,144091,146657,149139,150917,152825,154503,156621,158581,160610,162717,164837,167093,169451,172159,174432,176395,178136,179146,179819,180691,181869,183235,183894,184251,183896,183649,183617,184018,183825,184379,184217,184181,183667,183152,182760,182206,182014,181623,181078,180414,180836,180994,181967,181980,181789,181437,181405,181821,182195,182434,182829,183011,182840,182861,182186,182431,182692,183514,184278,184579,184312,183995,184394,185462,185568,185418,185638,186064,186516,186794,186706,186228,186129,186526,186058,184996,184565,184813,184966,184821,185137,185218,185680,186012,186450,186567,186748,186699,186669,185815,185571,185180,185296,184643,183981,183431,183490,183099,183616,183809,184086,184207,184769,185495,185516,186343,187176,188316,188416,188856,188320,188501,188772,189842,189178,188458,187578,187282,186272,185393,184907,184575,184498,184124,183683,182778,182435,182083,181565,180087,179269,178352,177787,177314,176472,176227,176101,176400,177117,177432,178382,179158,179828,180446,180897,181264,181971,182566,183481,184423,185089,185590,185447,186204,187364,188906,190368,192106,194099,195381,195600,195130,195426,197051,199752,201510,202698,203261,204090,204530,205133,206500,208605,211506,214527,217105,218838,221178,223986,227409,230962,235223,239523,243481,248036,252379,255172,257576,260286,264617,269318,274248,278657,282106,285116,288411,290914,293246,296243,299956,303548,304912,305511,305466,306111,306777,307653,308508,309865,311345,313002,313427,313862,315070,317022,319481,321106,323212,325308,326202,325834,325134,325837,326912,328131,329186,330240,330780,330440,330043,329146,329630,330848,332194,332219,332352,332324,332425,332298,332441,333516
BR001RG0034781,1,34781,305,Westminster,Colorado,CO,Denver-Aurora-Lakewood,Adams County,107215,108327,109505,110699,112003,113342,114641,116277,117978,119759,121528,123277,125018,126558,127962,129381,130552,131598,132316,133028,133762,134500,135040,135341,135458,135406,135380,135443,135988,136455,137079,137302,137661,137943,138314,138529,138616,139014,139555,139833,139616,139412,139034,138863,138527,138384,138258,138513,138687,138822,138738,138893,139020,139195,139452,139699,140041,140461,140886,140791,140568,140214,140008,139714,139557,139228,139275,139096,139079,138586,138146,137942,137984,138126,137928,137372,136679,136264,135818,135482,134481,133756,133206,133311,133197,132291,131185,130107,129687,129188,128069,127193,126264,125580,124367,122506,120767,119480,119122,119218,118446,117497,116577,115637,114841,113797,112840,112093,111108,110226,108766,107917,107381,106597,106100,105294,105321,104602,103972,103164,102818,103031,102526,101302,99898,98956,98092,97179,95682,94337,93230,92146,91259,90213,90179,89676,88941,88130,87010,86148,85104,85044,85015,85069,84738,83722,83244,83107,83927,84139,84595,85221,86452,87584,88425,89092,90197,91734,92134,92120,91844,92506,93925,95053,95922,96125,96427,97190,97442,98331,99491,101766,103579,105400,106332,107235,107847,108637,109915,111166,112810,113859,115243,116548,118075,119807,121525,123682,125913,128575,130820,132892,134864,137022,138889,140458,142262,144000,146043,148037,150235,152327,154590,156882,159307,161392,163746,165768,168131,169903,171674,172938,174328,175653,176843,178570,180706,183349,185679,188049,189736,191378,192898,194457,196297,198136,200320,201094,200928,201076,201491,201901,201665,202025,202345,202817,202744,202776,202599,203180,204231,204837,205356,205947,207305,208395,209613,210864
BR001RG0010181,1,10181,313,Arvada,Colorado,CO,Denver-Aurora-Lakewood,Jefferson County,108426,109670,110930,112171,113780,115416,116841,118229,119967,122051,124163,126044,127767,129183,130488,131818,132786,133674,134489,135422,136239,137130,137794,138495,139041,139643,140089,140437,141183,141867,142613,143057,143573,143977,144365,144259,144053,143982,144539,144731,144522,144109,143742,143344,143134,142862,143057,143189,143375,143379,143173,143470,143688,144009,144248,144510,144041,143524,142881,143127,143523,143911,144127,143981,143708,143465,143394,143547,144063,144794,145639,145967,146037,146002,145760,145899,146274,146853,147297,147692,147805,147421,146707,146589,146324,146000,145569,145150,145136,144780,144759,144499,144480,144580,144572,144304,144202,144121,144365,144599,144471,144138,142916,141868,140770,139869,138867,137652,137044,136393,135758,134501,133364,132785,132849,133346,133793,133941,134263,134522,134405,134517,134614,134884,134686,133975,133500,132428,131616,131055,130803,130482,130204,129713,128860,127984,126973,126237,124685,123856,123236,122887,122209,121672,120900,120222,119753,119886,120940,122218,124058,124991,125811,126368,127295,127755,128681,129776,131723,132866,133612,134113,135089,136380,137218,138351,139360,141279,142534,144109,144845,146750,148831,151239,152850,154320,155931,157326,158942,160401,162938,164910,167136,168680,170686,172485,174501,177019,180292,183905,186955,189921,191765,194070,196372,199174,201335,203604,206694,210238,212912,214999,217076,219342,221810,224532,227680,230546,233217,234960,235943,236107,237043,238426,240555,242714,245631,247779,249590,251088,252511,254583,256113,257420,259029,260658,263003,263421,263293,263838,264218,264825,264002,263847,263748,264825,265156,265746,265225,266183,267251,268195,269427,270766,273398,275511,278135,280285
BR001RG0044515,1,44515,362,Centennial,Colorado,CO,Denver-Aurora-Lakewood,Arapahoe County,105565,106514,107738,109290,110793,112358,114066,115719,117431,118848,120489,122427,124562,126205,127566,128664,129898,130453,131060,131937,132831,133647,134170,134598,134822,135277,135878,136386,136533,136878,137007,136778,136738,136708,136810,136793,136912,137140,137457,137905,138345,138562,138759,138779,138898,139005,139445,139325,139142,138841,138595,138271,138029,138163,138450,138929,139230,139420,139316,139615,140044,140065,139879,139667,139551,139236,139077,139189,139551,139609,139402,139186,139038,139573,139542,139740,139569,139715,139638,139020,138025,137042,136669,136531,136201,135295,135228,135283,135388,134058,132714,131774,131366,130357,129039,127938,127542,127058,125771,124067,122821,123392,123346,123029,122322,123664,124973,125125,123616,122991,123130,123855,124343,124590,125314,125872,125833,124838,123554,123424,124163,124733,125121,124546,123701,122106,120786,119771,118463,117188,116442,115766,115285,114027,112980,112004,111322,110586,109999,109340,109608,109618,109573,108931,107878,107039,106054,106071,106247,107185,107546,108290,109378,110505,111337,112328,114484,116425,118653,120054,121409,121792,122922,124408,125781,126808,127856,128865,129018,129705,130225,130914,131795,133483,135286,136144,136471,137312,138263,139859,141788,144093,146067,148209,150292,152310,153586,154979,157068,159368,162156,164336,166410,168107,170155,172130,173960,175467,177859,180977,183537,185907,187927,190120,192066,194002,196053,198503,200469,203083,204857,206469,207853,209213,210340,212031,213676,214911,215777,216713,218673,220213,221611,222459,222965,223519,223819,223759,223739,224875,226678,227831,228314,228153,228683,228375,228532,228366,229134,229805,230509,230555,230270,230397,230693,231600,232248,233858
BR001RG0031819,1,31819,380,Grand Junction,Colorado,CO,Grand Junction,Mesa County,85483,85960,85373,84718,84262,84647,84869,85196,85292,85697,85832,86324,86691,87117,87701,88363,88727,88702,88632,88640,88952,88697,88413,88140,88315,88820,89108,89238,89329,89690,90240,90875,91394,91999,92534,92821,92907,92798,93179,93934,95034,95934,96333,96485,96587,96920,97514,98094,98870,99634,100536,101199,101759,102130,102940,103775,104844,105876,106785,107794,108493,109262,109616,110084,110434,111171,111939,112752,113595,114812,116442,117996,119771,121366,123318,124635,126140,127730,129740,132018,133800,135191,136039,137153,138077,139414,141036,143224,145787,147874,149588,150836,152601,154302,156277,157609,158534,158985,158743,158981,158493,157969,157201,156690,156334,156154,155444,155074,154698,153761,153008,151729,150888,149514,148034,146473,144634,142590,140834,139217,137598,136781,135518,134420,132680,131750,130009,127986,125140,123158,121498,119679,118449,116755,115539,113712,112059,110187,108919,107687,107475,106436,105263,104199,103064,102294,101701,101376,101784,101982,102851,103957,104897,105495,105927,105910,105953,106021,106405,106919,106205,105674,104622,104138,103439,103293,103630,104792,105752,106291,105838,105316,105695,106234,107003,107389,107951,109112,109294,108945,108211,108142,108388,109188,109911,110910,111917,113020,114315,114478,115089,115408,116419,117139,118257,119285,120337,121269,121814,121727,121145,120966,121495,122943,124408,126174,127476,128444,128999,129762,130613,132141,133850,136022,137586,138889,139453,139606,140169,141434,142848,143533,144188,145027,146007,147358,148382,149208,149355,149196,149538,150133,151931,153722,155621,156597,157400,157486,158298,159158,160907,163065,164675,165770,165875,166340,166738,167661
